Username,Comment
kumpulan_yang_lagi_viral,jangan lupa mampir mas 👆👆
akbar_storee,cek prof aku 📌
janganlupamampir18,@syakirah viral🔞 mampir yuk
wheny4h1,mampir sini 👆
andi.hiriansya,𝘼𝙙𝙖 𝘿𝙞 𝙋𝙧𝙤𝙛𝙞𝙡 𝙆𝙪😁😝😝
dfno03,LIAT LAH IRANG INI YANG SANGAT BANGGA MENYIMPANG KEJELEKAN SESEORANG
_bang_okta_,cantik luar dalam sih
sebarrviral,"hps aja bang, kasian 😁"
danar3dewi,cek prof aku 📌
user753584191013,()om mau ipon om (..)
no_bio278,aduh aku punya semua
xndr4yy,bgi lh bre
himzytalwaysnt,"kesian syakiranya co,ampe trauma gamau kluar rumah gr gr hp hilang doang trus vidio pribadinya mlh disebar"
alshad_143,😏
pemburusolar00,"Guru penjas full senyum.
Oh iya gua juga guru penjas soalnya haha 🤣"
irvangunawan700,"SYAKIRAH DI MARI
ADA SYAKIRAH JANGAN BOLAK BALIK KAMAR MANDI"
zalenderjimmy,ouh come on follow me and stop pmo ok
mhwwehwsad,Ada nih bang
robi.kehidupan,https://52ia9gide3.mediaflare.biz/?id=58951b75
fany.madurah,"kalo semua cewek bilang kasihan maaf bagi laki"" tidak akan ada rasa kasihan Karana dia melakukan nya dengan kesadaran🌹"
heerry56,smoga aku tidak melihat vidio yg bermaksiat atw yg di sebut zinah mata 😳
sahrilsyam01,"yg nyebarin vidionya dosanya akan terus mengalir selama vidio itu msh ada hati"" hukum,menyebarkan aib orang.🥰"
daniajah849,Bangi bang
raja_case_,udah bang kasihan gw ga Tega co gimna lu di posisi dia bayangin
refirubiansiyah238,udah liat di ytb dr. puanteng
fatoni_aziz,bang tutor download pliss
ruangcerita02,https://linx.cc/ib91BWqq
isnantorizqi20,gua gak munafik.. dia emang cantik masalalu biarlah beralalu
sinsah777,ada di @STM | Aldi Tv
me.cipiii,ndk lucu bg kyk gitu nghujat org
fatoni_aziz,Minimal bagi lah bngg!!🗿
senja_sn04,https://linx.cc/ib91BWqq
gundulalus8,"org yg pertama myebarin, semoga hidupx tdk pernh tdk pernh mlakukn ksalahan."
inyeonju,tersusun rapi sama yg minta pap
areyouokey_2022,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰
mhwwehwsad,yallah tutuplah aibku sebagaimana aku menghindari melihat aib org lain
iksanthenaygril1,https://mediafireESDpPaZ.vip-crop8.cfd/
user.denray,semakin banyak yg nonton semakin banyak pula pahala kau ....canda canda.....
inyeonju,baru punya😁
nopal___10,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰
arildwi.k_0,ingat tujuan mu king!
mirnakbcau,ingat dosa dan akhirat kingg
fiqryhariansyah29,bagi bang
b03dy_tree,😁
inyeonju,Ud woii kshn depresii doi 😂😂
zamallbastrad0,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰
waduhb3go,bagi🙏
inyeonju,setidaknya saya gangrusak saya gamau dapet yg rusak
winnnzzz_,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰
inyeonju,inget bro 1 pengliatan 40 amal ibadah mu ga di terima apalagi banyak vidinya
alamsyah_1945,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰
wulann_comel1,Cek profil gw dah😂
bheldoz,𝘼𝙙𝙖 𝘿𝙞 𝙋𝙧𝙤𝙛𝙞𝙡 𝙆𝙪😏
sukaaabobaajugaa,ad yg minta?🤣
asomasow269,"buat cewek kalau cowok lu minta rekam beginian mending putusin aja, krn kalau dah viral yg malu ya yg ada di video (cewek). be smart girls"
thaa._prmt,Gua ada nih😳
inyeonju,yang punya tp g pernah gw liat😎
dhotpeot,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰
dewadewsky196,Bandar anying😂😂
kicekkk,ada 48 vid syakirah ga bang
kicekkk,"kalo cuma mau nambah followers doang mending gak ush sook"" an vidio ada di profil"
valnozzzz,kalo emng ada tinggal kasih lah
inyeonju,gk butuh vidio butuhnya dia langsung
user3762391151561,𝙖𝙙𝙖 𝙙𝙞 𝙥𝙧𝙤𝙛𝙞𝙡𝙠𝙪🥰😳
sriauraaaa,cukup bang kasihan dia anak baik
yzjawa,dia cntikkk ko gtu sihh
ilyasm_7,akhir jaman.
fatoni_aziz,Kirim bang
nyong_710,https://linx.cc/ib91BWqq
fatoni_aziz,bagi bg
sad_vibess1176,https://linx.cc/ib91BWqq😬
.sssssssssssss.124,di profil saya ☝️
acacioongdeh,kasian cog orang nyaaa
amelt67,udh bang kasian coba aja adek/Kaka lu kaya gitu terus di viral in pasti gak seneng kan?
alnosay,bagi lah
fatoni_aziz,https://sfl.gl/7LIOy
ambatukam_43524,https://linx.cc/ib91BWqq
t3gazz,L1NK D1 B1O KU
thxz_nadzz,udah kasian
flourencyah,Cari aja akun nii🗿 @Araa Ahhh
neko_riders,pasti malu bgt tu kek y😅
sultanmalik_27,absen yg udh liat 👆
trading_bot_all_pair,coba waktu bisa di ulang sed sakira
purbotiyoso,dia kenapa sih anj aing ketinggalan informasi cok
fatoni_aziz,bagi dong bang
yauw_ombiz431,https://linx.cc/ib91BWqq
0012gh00,bang bagi bang
bayy_suka_epep,paling isi ny sholo😂😂😂
milda_ja0022,@syakiraviral
bangbung_hideung41,"kasihan dia bro udah jngn di sebar, bayangin, cewe yg lu sayng di posisi dia giman coba😑,udaj dewasakan,mikir ya"
.laskarr,"gak percaya itu mah ngeramein doang biar viral, bukti nya sampe sekarang gua belum lihat video nya...tiap minta gak ada yg ngasih,berarti emang gak ad"
bangbung_hideung41,sok suci kelen
mdaimanasmawi,penasaran...
rimexxs,sesungguhnya engkau membuka aib hamba Allah akan membuka aib MU
uak_bhogenk,@syakirah69__ sabarr
adinari7,gak bosen tah . . . 😅
moba_sion1,sumpuk
agis5490297902221,sama
ekapratamaputra8,"muka alah,,arap otak alah,,Brat✌️"
7indan,minta dong file ny
ihksanmaulana34,Sedangkan gua mantannya
hhaikal5752,😂
slametpurwantogeming0,uishhh 😳
your.username.2,Bagi bang plis tar gue follow tiktok lu bang blis
lyxxx03,kesian bg jangan 😁
guardmard,bgi
anakmamah0232,https://t.me/hamsTer_kombat_bot/start?startapp=kentId2077455113
kayzan_emperor,kawal sampe masuk TV 🗿
ningsxaw16f,yuk sudah yuk cukup.. kita berupaya bantu tutup aib saudari kita dg tidak saling mnyebar dan mmbahas terus mnerus
arsafellix,"gw kasian sama syakirah
jangan ngumbar aib orang bang
gimana kalau suatu saat nanti aib Lo yang viral"
bal.always.kettoy,Apa cuma aku yg belom liat
yuriza.11,gw yang baru dapetin vidionya doang🗿
ahmadsadly7,Dah punya full album + fotonya😅
guardmard,"bgi""link"
wahyuwahyu75805,https://t.me/hamsTer_kombat_bot/start?startapp=kentId2077455113
guardmard,bagi lah
pgglajkmel,https://t.me/hamsTer_kombat_bot/start?startapp=kentId2077455113
danialx07b,𝙢𝙖𝙣𝙖 𝙨𝙞 𝙡𝙤𝙣𝙜 𝙣𝙮𝙖𝙖
7icds,spe nie doaiii
a_genss,kasihan hahahah
redtblackk,bagi bng pelit
kesayangannyamama_,wkwkw cis dulu yang udah punya🤪🤫
hadika379,INFOKAN LINK DODSTREAM KING😁🙏
seringcroot,emang dia ngapain sih penasaran bngt gua
riskawulan032,salam hangat dari murid kakek sugiono 🗿
rip2012011,"pdhl cntk lohh , tp mo gimana lagi udh kesebar kan"
jabaralvaseh7,HP ilang
bgzick7,udh kasian beranda gua dipenuhin shakirah
iksan_story01,"gw ngga munafik sih sumpah dia cantik,semua manusia punya aib masing², kalo kita bisa nutupin pasti dia bakal sayang banget sama kita Yaqin gw mah🥺☺️"
mieaunya,dah lah kasian emak nya nanggung malu bang Nga baik sebar sebarin😂
gprnhbhg,@HjiK24 kau mmg ada ni
rafdi2026,"skip"" dlu bng"
m26_team,bagi lah kka
alanandriannnn,yg penting sdh tau tahi lalatnya 🤭
lu_follow_gua_folback02,yg mau pillow gw he kasi tau caranya mudah sangat😂
klebun_mabe_songai02,siapa sih yang sebarin?
pengantarrtidur_,"gak ikut punya pacar, tpi aku dah tau semunya hehe"
pengantarrtidur_,langsung aja ☝️☝️
pengantarrtidur_,jangan lupa mampir mas 👆👆
kumpulan_yang_lagi_viral,cek prof aku 📌
kumpulan_yang_lagi_viral,langsung aja ☝️☝️
kumpulan_yang_lagi_viral,jangan lupa mampir mas 👆👆
draiver_muda26,cek prof aku 📌
distaams02,ahh ga seru video nyh😅
adala392,krim dlu bang
cokkkk026,uda kesian dia aku sebagai cwe aja tkt kek gitu orang Semua ad kesalahan tapi slh ya kita memaafkan dia
fatoni_aziz,minta bg
bramm.076,https://linx.cc/ib91BWqq
nrrshmila,krm broo 😂🗿🗿
rifkymuhammad13,Maka sesungguhnya jangan la kamu membuka aib seseorang !
xi0uu2,Awokwowkwk pasti trauma ga bisa ke mana² soalnya di kenal banyak orang🤣
xhizya,token gede
szsydhtbt21,astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah
szsydhtbt21,mintak
kumpulan_yang_lagi_viral,aku bang
kumpulan_yang_lagi_viral,langsung aja ☝️☝️
kumpulan_yang_lagi_viral,jangan lupa mampir mas 👆👆
.hamdamf,cek prof aku 📌
ruby.cha7,bukannya file di dokumen?
_mmecaa,dan kamu bangga mengatakan nya?
kumpulan_yang_lagi_viral,di twet ful bgt anying
kumpulan_yang_lagi_viral,langsung aja ☝️☝️
kumpulan_yang_lagi_viral,jangan lupa mampir mas 👆👆
iqbal_frdn,cek prof aku 📌
caa.2107,penasaran gue😅
taherkrp_,Ada yg mau g vd ny😂🗿
amel23160,Syakira menghilang dari Lane🗿
kiwi_121,"sehat""cowo mahal"
slsbilaa352,sini mampir kalo mau nonton
ca.cahaya0,bagi
ruthyamanda,percaya lah yang menyebar kan Vidio atau foto sangat berdosa karena telah mengumbar aip orang😝
wafercik2,Duta kamar mandi 😂
asepfauziasep01,"jangan"" lu yang nemu HP nya banhhhhh🤔"
irmahaja97,minta😭😭🗿
dani_saragih56,aku ada video 😌
fidaibnu,"udalh la woiy kasian dia,,klo udha ada video ny ydh simpan aj jngn di perpanjang lgi ,,kita jg gak tau klo lgi di posisi dia gimna"
nopitfaisal,"gk usah mnghujat biarin aj, knp Klian nyebarin bginian,, ingat kt sama2 pnd0sa"
muhammadikramulla95,sehat sehat pria yang gapernah ngumbar aib orangg
jali_146,sawah nya lumyan tebal 😁
rizalajaa07,😂😂
al.runners22,bosan gw anjing
dini.cihuy,mana janji mu king👑
mazkyy23,saya punya 10 vidionya
rahmatmat53,bagi bang
rikeemelia,"udalah we kasian orng tuanya, bukan itu tujuan kalian king🥺"
fatoni_aziz,pengen liat penasaran😳
ryuuzin_takashii,https://linx.cc/ib91BWqq
ryuuzin_takashii,jangan umbar2 lagi
ssssspppppllllll_,gw kesal ama org yg nyebarin nya anj
faisalmelati069,@Saiful_$189
kyyskii_12,"Baru dapet 18 video nih sma fto, ada yg baru kah"
daffa.klf,https://vnshortener.com/cQIH6S9😋
rizkibest,bagi dong bang
tragedhithaliekhu,video nya cri dmana gan
riskiruskimw,kasian perempuan ini😔
sie_oong,yang udah nonton b aja
zeeinul,"Hati2 sma gibah..
ap lagi mempertontonkan aib saudara seiman..
allah ndak tidur..
pasti semua ad blasan nya 🙏🙏🙏"
eko_andreansyah,Bnyk
vv.bvva,ah kw bacot aja
selyycans_2,bagiii
tiiiiihelek_06,𝘼𝙙𝙖 𝘿𝙞 𝙋𝙧𝙤𝙛𝙞𝙡 𝙆𝙪😜
teks_bermaknareaksion,barang siapa yg membuka aib orang lain maka Allah akan membuka aibny
url0ve_tiya,baguiiii
csyxxxxxxx,bgii
csyxxxxxxx,wkwkwk
krc_444,bgi kk
bellaendut12,jngan di viral Lin lagi Kasin orang nya sama keluarganya
zxrajaja,fb gw ig gw wa grup gw tentang syakirah 🗿
mhd_syahri_s,barusan nonton😁😁
zifanaardilaaluni,bagi bg
boboy1_4,"jangan di ungkit² kasihan keluarga nyaaaa,,ngertiin juga perasaan diaa"
stylesumbar2,berbagi itu indah king
insialv48,Kirim bg
nafismaulana23,Semoga yang menyebarkan aib seseorang akan di sebarkan aibnya pada hari kiamat
mandan356,ada yg mau berbagai sama aku
kevinn_182,kerja bagus kawan
mamae_aleeya,sekarang gua tau rahasia cewe
djan_adja,jadi kepo gue
yhrrzeedpee,"jangan kepo , hanya anak gunung ,"
hafiz.sky97,cowo yg g pernah liat+nyari💗💐
liaanaaa15,kesianlah sama dia jugak
man_npg,Menyebar aib seseorang pasti ada balasan
glow_hunter1,"njirrr dri tdi vidio nih orng fyp terus d beranda gwa😏
jdi tmbah penasarn😳"
aakdimaz1,berkatmu aku melanjutkan hobiku wahai wanita cantik:)
reezaaaaaaaa117,bagi ke kau dong biar dapat pahala😅
rafigrut,bagi bro
adriansyahputra71,pengen tau bg viral apaan
bayyy7112,apaan Emang nya bang
arpelv2,yng blm tu video nya nyimak aj
finizulaika,mana
xyrii25,gua punya8
nguahhhhhhihi,"nyerah dehh, gadapet dapet"
butirantaiiii_,"sht"" lannang mahal"
rizzz700,nyimak lengkap😏
plorensiajstin,bagi
mas_ang.32,1 menit kebawah semua GK seru ah
user262176591,dia knpa?
vanny2304,Bangi bang
reshiint,Ya Allah Lindungilah aib²q dr org² yg Dzholim n Ahli Fitnah🙏🏼🤲😇💜
riiielz,yg mau pm gw
veronsampel,"aib org Jan di umbar² bang
ntr Lo di akhirat nyesel Lo🗿"
ripanoyoga_,bagi lah bang
kamunanyananya079,pentil e lincip kulino di mot piki@V
user.rigos,GK pengen tau😏
tantepemuashasrat2,kirimin bos
tantepemuashasrat2,langsung aja ☝️☝️
tantepemuashasrat2,cek prof aku 📌
rshym_12,jangan lupa mampir mas 👆👆
intannurainiiiii__,kasian cok
dogundo,guee dhh nonton smuaa njrttt
vendaaf,udah bang saihan😔
yunizanceee,kmar mandinya bagus wkwkwk
ferdinand_341,gua kasian liat tu org
ul_aj44,"""YANG NGA NGERTI CARI DI YANDEX!!"""
renoadian024,"bang, amal jariyah itu bentuknya bukan dari uang aja 😅"
afifahhh_fitiyaaa02,"saya sudah melihat vidio nya king
hahaha. SEMUA 😎😎😎"
ahmad3lbs,"udh bang kasian dia
kita GK tau perasaan diaa"
usernamew7372,udah lah bg kasihan
ravazayvinooo,bersih bngt woy
andiputrieeee,ingat tujuan mu king
tiiicng,Aib org Lncar di umbar Aib sndiri gak karuan
arpanhrp0,apa gunanya
patra_kasandri,ini mulu
beatsage0,tukang gocok pulll senyum😅
hmm_1347,bagi lah bang
swingly_0,"udh lahhh , takut bakal balik karma nya ke Ade / ank perempuan Klian nanti nya."
membenciiii_,gw punya pm tiktok gw
sandafitriana,Gimana masihh aman
itsnailmutants,😩😩🗿
ahmadz182,@user7286313111848 iki tah slurr?
reenndyy2,Shakira
user307820977,"pria sejati tidak akan, membuka aib orng meskipun sering tersakita😏😅"
ijaall_ygy,dpt 14
iniitempattcerita,mknya jngn terlalu nutut kata kata cowo
bdirbfkhwbwkfi,gua udh punya cuma kasian pengen nyebarin karena dia cantik😳😬
rifkrmdnnn,gw aja gk nada yg dapet
febbyy1709,berbagi itu indah maknya bagi lah aku Vidio nya
rifkiap37,kasian
rizky_170303,sehat selalu kkk ku😂
thomassjaya,#stop sebar aib orang
rakmal827,krim
dwibudiyanto959,udah bg kasian dia sampe malu keluar rumah kita harus ngehargain dia
yad761,"bangkai d tutup""pi pasti tercium jg bauny"
temeng.51.bkz,padahl cantik
ahmad.s069,kumpul yg blm tau
dimzz7dimzz45,gue nemu di galery full vd🥳😛
lalasbrna_,bayangin kalau di kakak lu atau adik lu🤣
vande5636,udahlah gausah disebar lagi kasian loh
vande5636,gua ada
symlvik,2 rebu
secret7life,mana
capras_27,"BUAT LELAKI YG NAHAN BUAT GK LIAT SEMOGA SELALU DALAM LINDUNGAN ALLAH.
DIJAGA MATA SAMA IMANNYA YA!!"
aeydimsum,mantap😂
wongansor23,inpooo2 woeee bagii jan pelit2 habis lebaran jg🗿
tataataalvye,minimal Jagan di share di tiktok
felaut6,Anj pdhl cantik lo 😭 cowo nya juga udh sakitt
obitoid18,yg tau 😏 vidonya solo semua 😅
bocilff20193,info link
bargasprojects,yang baik kirim
putratunggaljaya76,gua yang udah punya videonya🗿
_myawafrelliani,@sebut saja slim
kiki_sundaa17,si bh merahhhh
ywwtiktok,ada apa ini lewat beranda mulu
bob.sadimin45,Jagan kek gitu juga lah bang
adityaaaaaaaaa72,"udahlah, kasihan orangnya. misalkan itu adik Lo sendiri gimana"
user3055201334273,Pada norkkk bch
yueeeeeeee8,bagi² dosa lah biar pro
yueeeeeeee8,"@meihua_62 mbakku punya nggk, kudet gua🥺"
mega_tiktok.com,🤗
yueeeeeeee8,"sama""🥰"
mega_tiktok.com,"hmmm,, ywda minal aidzin walfaidzin aja ya🙏🙏"
debudebuintan7,g punya 😁😁😁😁
jerapah_masak_kecap,Wanita jaman sekarang sembunyi dibalik jilbabnya biar terlihat baik
bilawww.29,gua cuma punya 6 doang
jerapah_masak_kecap,link?
aji071508,cara bagiin lewat tiktok gimana
melot59,bagi
prayoko_123,apaan sih ini.
putih_1168,info link
jihan_zahrinaa,Mohon maaf lahir dan batin Ya
julfikardjaguna,Bangi bang
12345rudik,bagi dong bang
ngecapkecap,info vidio
asepuloh03,fyp ku di penuhi syakirah semua
p.tri.x,bagi
agussandoyo3,gmn cara dapattin video.x😅
bojonepesek87,"beri penjelasan lah bang guwe nyarinya sampai pusing 7keliling🥺, apa kasih 1 vidio yg asli biar gak penasaran"
bojonepesek87,kalo mau follow aku
dwioktafredianto8,udah liat semua
topanlawas,bagii dongg
threyoo.3to5,Udh dpt dan msh ada donk lmyn ada 20 film
sil.2456,bagi
andir_77,Diman ada viral di situ fyp ku semua
sanakragill,"smua blang pada udah ada,tapi sangat kikir memberi link aja ngak mau,apa lg beras nya ya 😂"
izanagii.x.alaska,cantik doank aslinya
riski_stories,emang video apa sihk ??
lisaarianti6235,kasian cewe nya
x.c.z27,cma brang mrah yg mau berbagi
sahamaneh947,emang ada apa si Woy dengan dia
raaaaa_551,Kalo udah gini kn siapa lgi yg di salahin coba 🤣
ssila330,uda liat tadi woi
cimi_cimi77,flbk kirim
hangar1878,bagi bang
raaaaa_551,kg ada
_b_u_r_a_q_,cari nama grup fb (AKU DJ MW)
_b_u_r_a_q_,gmn cara nya
raaaaa_551,GK ad
_b_u_r_a_q_,liat di fb
ainiaha835,bgi lahhh
ardian_ian09,flbk kirim
ainiaha835,mantap vidiony
kevinminion09,mauuu
jandrisyaputra,bagi ngab
elsamayory_,"apalah daya ku yang ngak tau apa"" 😌"
acilselfi,"gaboleh gtuu, kita semua punya aib dan bagi perempuan jangan saling menyebarkan kita sesama prempuan saling suport bukan saling menjatuhkan"
narvqey,gimana barudak ???
kmolll,"Yg jaga presiden memang ketat
ingat disisi mu ada malaikat"
_tyaaoktaviani,ada di twitt gk bg
nandahardiansyah91,dri syahirah kita bljr bhwa cantik blm tentu mhl cui🗿
putrobaren,"kita sama"" pendosa bero inget itu"
bebeneri92,orang yang menyebarkan aib orang lain itu lebih berat dosa nya😌
hafifa1367258819044,"ko aku gaada penasaran2nya
malah kesian keorangnya"
qusyairi07pmg,siapa yg punya vedio yg hadir doh piiss ku cari tkda dapat2 d
mpot2708,coli
_putrisjaaa,"Nasib nasib shakira haduuhh, pasti malu nya ampe ke ubun ubun"
akuu_imahh1,padahal dia cantik lho tapi sayang bgt
wavethicheu,cis yang 24jam buka tt tapi sering ketinggalan
fadilah_kholik20,ini apa dah
fik36,gua masih punya nih
andriuofb7o,udah pada liat gak video x🤣🤣
satu0162,gua tau tapi belum dapet filenya 😭
user6223915094780,Baru 7 weyyy
editor_kyess,Vidio nya mantap
schaaa.22,kasian cok
krikkrik077,jangan lupa dosa jariyah nya ya
billieathere,NYIMAK YING AHH TE APALL LURR AHH PUYEUNGG
alaskasagara,Shakira menghilang dari lane
1_.alyamaulinadarwis5,"bro bro mikir lah wkwk, kasian udh. jangan terus²an di sebar aib nya atau videonya. kasian mental dia"
ndussari01,Bagi vdio nya donggg
sempak_porenjes,yg baik bagi napa;)
hanjig5,ya ampun dia malu gak yah?
maasalll2,sekasap kaka😂
.kepooo02,bagi lah
akugila481,Sbnernya klo aib ga boleh disebar tp akar mslhnya ad di tuan putri.
queeee0n,"aku ga kenal sama mba cantik, tapi aku liat orang lain post aibmu mba saya ikut sakit hati"
ferrygenk12,mintakkkkkkk
dafarmdan,yg udah punya bilek😂
jiot1235,aku g peduli bngsd
putradika99,cantik loh padhl toh kok.... 😭😭
ramdan.editz,Dia kenapa kak?
hidayatt86,heran kok bisa bocor videonya ya:l
butterfly_faaaaaaaa,rela begadang demi mencari syakirah berada
androslibaw,itu Poto anying
abdul_0.9,link nya buka bawah
yusufwilliam_,punyaaaaa🗿
mhmdshrlfzi06,aku ada 12 video
cantika_zyyz,Bagii lah king
scoopnuna,Astofirullah itu sama aja berbagi aib orang gasih kan dosaa
sedangmencariketenangan0,ga bahaya ta?
claraapricilliya,keren lu gitu?
akbar_r626,dia knpa oyy
m1robet9078,Syakira slebeww
darma7262,@anak_pahaji @jihadutt @faisal_230894 @lakatan_bahinti alasan cepat vokam nongki😂😂
adeear_3,bangke ni apa an si 🗿
user157427885,beranda gw full syakira ada apasih
__riskyawan,"@,:orng lain sibuk nyebar link
gue malahan kasihan sama dia, mentalnya pasti down bgt
yg kaya dia banyak, cmn ga kesebar aja"
king_radtor,gaboleh woi wkwk
rohmantheblues,padahal cantik 😌
ptriay_03,semoga dia sabar
micael_amat,@0%
dhooo_112,gw udahh nonton 😳
user6140351101853,fyp shakira hungkul tapi urang te boga vidiona hiji ogeee
cuaa08,rusak rusak😂
godlekyou,b-bang
narutonaruto574,udah gue follow tuh
biduanmungilonty,bagi lahh bang
vikkyprayoga,"bangga beut nyimpen aib orang, padahal diri nya sendiri juga punya aib"
kamuseorang34,itu nonton gimna dh 😳
agen2635,PASTI DIA RUGII 😂
celokaemian,"ketinggalan informasi gue ada apa sih
apa soal yang kaya di bio gue
orang di suka"
cewejaehyun12,info link😂
.cinnyyy,kasian cuyy mnaa cantik lagi
vaniagutina7,apakah dia akan bunuh diri dengan semua ke viralan ini?😳
vaniagutina7,kg ngertii
teukual04,knp si woii
delta_kyshaa,ga cantik ga viral🙃
currencyflay,eh bisa ga sih gausah viralin gtu kasian lu semua yang udh nonton mikir perasaan syakirah sama keluarganya gaa?
virg.oooo_,izin afk yah 🥲
4n1sa__,gua cuma 5😆
ferrysalim145,bagi bang
ardibayuwiranataa,bagi ngap penasar Cok🤣🤣
selalu_tiaraa,bagilah cape kali
rizki_oktafiansyah27,"udah lah kasian dia, tutup rapat aib saudaramu maka Allah akan menutup aib mu insyaAllah"
muhammadsoleh4119,bagi banh 😂
febrihryy,aku punya bg
stwbryyee,bang🥺
renobarrak1,bagi.
fadilgzaja,bagi lah🗿
nittaaaaaa_9,gw yg gtau apa² hnya bisa diam😳
rz_19_02_4,apaan sih gua g paham
dkysportsofficial,"heran gua org² bisa dapetnya gimna y🤔
tapi ga mau tau sih😂😂😂"
rara.6810,yg gua heran siapa yg nybarin nya
sgxlexuz1,ngpa dh ni mulu yg lewat
anak_senja98,wkwkkw
kamu_nanyeea11,asli gua gak tau sama sekali ini tentang apa
qkleon23,aaaaa kuku gua rusak_-
user6a6nop2k7c,gue dah nonton 😁
ikmalaljrllh__,buset ada apa lgi sih
bayusptraa___,bgi weh
thmsfrlnd,@thom____ P
sasaaligatorganas,gong tak download memoriku bek 🗿
bulshit00,"oh ini alasan cwo cri yg cantik😨
karena klo cantik pasti rame konten ny☝️😎"
ds.986,"sehat "" cowo mahal"
xhizya,aku dah punya semua 😂
xyz.an6,astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah astaghfirullah
ftyna11,minta bro
friskilabeltaaa,bgi🗿
rosanaalyami,gua ketinggalan apa gimn ni
username50.___,"folow Ig ku gaesss
rssalymi"
deku21_0,udah lah cok kasian diaa
ripallsabastian,Hubungan selesai aib terurai🥵🤣
azllbg03,ahh kirah bisa aja😅😅
style.969,rill cuy galeri gua penuh sm vt dia ahaha
ammall440,ketinggalan mulu cok
si_baek,cuma foto ka video dong 😂
nocktail445777,UDH LIAT DI MISTER IKAL
supportwoi,rapih beud anjay😂
silfifatmaa,tag akun aslinya bang
lismayani529,@kudet racing037
prasty_27_,ada yang mau?😂
yourboy3008,tertinggal berita 🗿
glak_sky3,kasian lol
iraaa_xya,"Video viral 18+👇
medfre029clmk.nte-co-id.live"
aiinil_muthrah,perasaan dri tdi dia Mulu yg lewat emg dia npa sihh??
yxdn__,@Anyak 🌻 nyo euk yg lon pegah sinong nyo
zii_kraamaulida,mana cantik lgi
abeng_065,gue yg punya banyak bilek:🗿🤙🏻🤙🏻
uwongtulus346,saya mah cuma punya 7
alamlatahzan.com,norak lh
chapitou3,@Pengejar Glory 😂😂
rifkykchil07,"bagus""😂😂"
aqua_girl92,nonton baru part. 4
etzu.oi,saknoo e tala arek iku
ikiyybasitgm0,"stop lah kaya gitu, dia wanita ibumu wanita jga🥺 dimna hatimu,jagn di sebar kasian"
lausapempruy__7,mana cantik lagi
rkaelssiana,gw ad nih 16 video 13 foto
d_wildan16,knp gw selalu ketinggalan berita anjing 🗿
megarealme,bagi😂
kubimsu122,g tau yg jelas memper malu kn dirinya sendiri ☝️
punyavitriacantk05032005,bangga lah bangga
ygygppa,Peh mas di kei 5 opo Piro no mas peh😂😂
wanda_gaming012,ga ngerti lakh
sasasajaa1,bang plis lama2 gua mati penasaran nih setiap ada berita GK tau berita apa
katapi_,jangan kasihan itu aib dia
jahegepuk_51,baru dapat 5 hahha
aacuu20,"apasih kaya gini di share , mana coba loat"
komangsudiarta5332,punya gw lengkap sih tapi 10 k😂
sapigoyeng_,bagi boss
maszeh9688,akibat kepo fb sy hilang kendali fukyu tenan😊
drexx48,lol 😆
korban.perasan02,nyesel gue cuma punya 2 video.. 😏
sitiiaisyah58,bagi dong bang😳penasaran nih 😳😳
kkeey19,perasaan fyp gua dia mulu knp sihh?
ig_sa67,bgii🗿
firdaus_384,syaaa 191 😂
anaindah19,ingat laa disana nnt satu persatu dpertanyakan.
jorgee2606,😂sekarang tau kan yang terlihat polos lebih astagfirullah dari pada anak yang terlihat nakal polll
kingraffi_66,udah nonton gw😁 masih ad di galeri saya
syaaynh,Ngerii atas hijab bawah jepang
sandi_frndl,ayolah berbagi
ijamzzz.11,YTTA 🗿
vi_scor_,info yang mau
yonn_kyy,"tolong jgn di sebar luas kan, soalnya itu aib syakira 🙏"
_aliyakkk_,udah nonton barapa eps bro
dimzzz972,apaasihh woyy kaga tau gwhh
yeenpalokandey,gua punya semuanya
mieacehilike,xbaikk xberbagi
mieacehilike,udh mls gw nonton gituan muka gw mulus doang tapi kusam
monaagstn,yaaa
dwiiiiiiiikaa,hahahahhh
user8818862170329,gw yang uda tw🗿
mpanmau_,ada nih Vidio nyh wkwk
aii.elll,@amr.vanmountt ape lagi nie
kholis_ky1,baru nonton 1 😭🤘
user3937570181037,mintaaaa
mhdardiansyah0901,maksudnya apa ini aku ketinggalan berita
gentong651,berbagi itu indah woy.
hanzz_xyberr,Mau sampe kapan kau umbar aib orang lain
kanaybye,gua punya 6 fideo nya wkwkwkw😂
akuntidakada443,kasian woi
